state,fiscal_year,season,is_current_cycle,vendor,contracted_tons,priced_tons,contract_value,weighted_avg_price,simple_avg_price,min_price,max_price,n_line_items,n_counties,volume_share,is_attributed
MI,2022,2021/2022,False,Cargill,19557.6316,19557.6316,1245229.901408,63.6697697796905,64.72675675675679,55.23,69.32,37.0,6.0,0.01860806870899262,True
MI,2022,2021/2022,False,Compass Minerals,62850.0,62850.0,4820047.5,76.69128878281623,77.6244144144144,64.75,98.05,111.0,15.0,0.05979850435265312,True
MI,2022,2021/2022,False,Detroit Salt,968622.0,968622.0,53156883.51,54.87887278009378,58.85773012552275,43.58,143.58,956.0,82.0,0.9215934269383543,True
MI,2023,2022/2023,False,Compass Minerals,365080.0,365080.0,25410028.4,69.60126109345896,70.60460784313726,56.0,101.05,408.0,46.0,0.3122476907287034,True
MI,2023,2022/2023,False,Detroit Salt,804120.0,804120.0,46326355.1,57.61124595831468,59.69322580645117,53.4,80.21,744.0,53.0,0.6877523092712966,True
MI,2024,2023/2024,False,Compass Minerals,298850.0,298850.0,21951334.0,73.45268194746528,75.20740983606551,56.74,108.12,305.0,39.0,0.2666848710212554,True
MI,2024,2023/2024,False,Detroit Salt,821761.0,821761.0,49501493.28,60.23830928944061,62.241680773881775,52.91,92.38,827.0,69.0,0.7333151289787446,True
MI,2025,2024/2025,False,Compass Minerals,431400.0,431400.0,28522994.0,66.11727862772369,68.26333333333366,53.8,105.41,561.0,62.0,0.5323132924083043,True
MI,2025,2024/2025,False,Detroit Salt,379025.0,379025.0,23251567.75,61.34573642899545,63.62606060606044,55.29,78.83,429.0,48.0,0.4676867075916957,True
MI,2026,2025/2026,False,Compass Minerals,260595.0,260595.0,19731399.85,75.7167246109864,78.68616788321158,62.0,111.91,274.0,35.0,0.22456974592797946,True
MI,2026,2025/2026,False,Detroit Salt,899824.0,899824.0,56562346.28,62.8593439161436,64.42227578475328,52.3,200.5,892.0,66.0,0.7754302540720205,True
MI,2027,2026/2027,True,Compass Minerals,407305.0,407305.0,34283109.35,84.17060765274181,86.53601941747563,56.99,127.14,412.0,51.0,0.30275809011272453,True
MI,2027,2026/2027,True,Detroit Salt,938010.0,938010.0,63985048.8,68.21361051587935,68.78661800486609,57.57,87.27,822.0,57.0,0.6972419098872755,True
PA,2022,2021/2022,False,Unattributed,1660915.0,0.0,0.0,,,,,67.0,67.0,,False
PA,2023,2022/2023,False,Unattributed,191986.0,0.0,0.0,,,,,8.0,8.0,,False
PA,2024,2023/2024,False,American Rock Salt,675835.0,675835.0,55277068.89,81.79077569229176,83.01027027027025,67.18,100.3,37.0,37.0,0.46788850457894987,True
PA,2024,2023/2024,False,Cargill,433761.0,433761.0,33503058.649999995,77.23852225073253,77.86,62.95,92.96,17.0,17.0,0.3002978325104054,True
PA,2024,2023/2024,False,Compass Minerals,284064.0,284064.0,21079681.43,74.2075075687169,71.425,54.08,85.78,8.0,8.0,0.19666084201723025,True
PA,2024,2023/2024,False,Eastern Salt,12767.0,12767.0,938246.83,73.49,73.49,73.49,73.49,1.0,1.0,0.008838743980349423,True
PA,2024,2023/2024,False,Morton Salt,38009.0,38009.0,3069855.17,80.76653345260333,81.72,76.33,87.83,4.0,4.0,0.02631407691306503,True
PA,2025,2024/2025,False,American Rock Salt,,0.0,0.0,,88.02052631578948,71.21,106.32,38.0,38.0,,True
PA,2025,2024/2025,False,Cargill,,0.0,0.0,,79.55259259259259,56.78,97.61,27.0,27.0,,True
PA,2025,2024/2025,False,Eastern Salt,,0.0,0.0,,81.435,73.49,89.38,2.0,2.0,,True
PA,2026,2025/2026,False,American Rock Salt,940774.0,940774.0,84918773.37,90.26479618909536,91.84921052631577,74.41,111.1,38.0,38.0,0.6134931798514611,True
PA,2026,2025/2026,False,Cargill,320464.0,320464.0,27251907.5,85.0389045259374,85.84058823529413,69.4,102.49,17.0,17.0,0.20897949814505784,True
PA,2026,2025/2026,False,Compass Minerals,181222.0,181222.0,13381311.49,73.83933236582754,73.49,59.62,94.57,6.0,6.0,0.11817765057180736,True
PA,2026,2025/2026,False,Eastern Salt,42339.0,42339.0,3550165.62,83.8509558563027,84.005,83.5,84.51,2.0,2.0,0.027609912414385405,True
PA,2026,2025/2026,False,Morton Salt,48672.0,48672.0,4278047.92,87.89546186719264,87.96249999999999,82.16,94.54,4.0,4.0,0.03173975901728823,True
PA,2027,2026/2027,True,American Rock Salt,956954.0,956954.0,90161498.82999998,94.2171711806419,95.92874999999997,77.4,113.1,40.0,40.0,0.5799095612715719,True
PA,2027,2026/2027,True,Cargill,141976.0,141976.0,13022275.33,91.72166654927594,91.77,85.26,102.17,7.0,7.0,0.08603677906262233,True
PA,2027,2026/2027,True,Compass Minerals,86867.0,86867.0,7685702.130000001,88.47666121772366,85.965,80.67,91.26,2.0,2.0,0.05264098782070783,True
PA,2027,2026/2027,True,Eastern Salt,15355.0,15355.0,1366595.0,89.0,89.0,89.0,89.0,1.0,1.0,0.009305056787813194,True
PA,2027,2026/2027,True,Morton Salt,116990.0,116990.0,10303680.75,88.07317505769724,90.78,77.82,97.88,7.0,7.0,0.07089538219513289,True
PA,2027,2026/2027,True,Riverside Construction Materials,332036.0,332036.0,27303226.5,82.22971756074642,81.95,75.0,92.0,10.0,10.0,0.20121223286215184,True
